"Märksõna (B1, B2)",tundetoon,sonaliik
aabits,dom neutr,S
aadress,dom neutr,S
aasta,dom neutr,S
aastaaeg,dom neutr,S
aastane,dom neutr,A
aastapäev,dom neutr,S
aastavahetus,vastuolu,S
abi,dom pos,S
abielluma,dom pos,V
abielu,vastuolu,S
abielupaar,vastuolu,S
abikaasa,vastuolu,S
abiline,dom pos,S
abinõu,vastuolu,S
abivalmis,dom pos,A
administraator,dom neutr,S
aed,dom neutr,S
aedvili,dom neutr,S
aeg,dom neutr,S
aeglane,dom neg,A
aeroobika,dom neutr,S
ahi,dom neutr,S
ahjuküte,dom neutr,S
aiandus,dom neutr,S
aim,dom neutr,S
aine,dom neutr,S
ainuke,dom neutr,A
ainus,dom neutr,A
aitama,dom pos,V
aitäh,dom pos,Interj.
ajakiri,dom neutr,S
ajakirjandus,dom neutr,S
ajakirjanik,dom neutr,S
ajaleht,dom neutr,S
ajaloolane,dom neutr,S
ajalooline,dom neutr,S
ajalugu,dom neutr,S
ajama,dom neutr,V
ajastu,dom neutr,S
ajavahemik,dom neutr,S
aju,dom neutr,S
ajutine,dom neutr,A
aken,dom neutr,S
akt,dom neutr,S
aktiivne,dom pos,A
aktiivsus,dom pos,S
aktsia,dom neutr,S
aktsiaselts,dom neutr,S
aku,dom neutr,S
ala,dom neutr,S
alaealine,dom neutr,A
alaline,dom neutr,A
alandama,dom neg,V
alarm,vastuolu,S
album,dom neutr,S
algaja,vastuolu,S
algama,vastuolu,V
algatama,vastuolu,V
algatus,vastuolu,S
algklass,dom neutr,S
algkool,dom neutr,S
algus,vastuolu,S
alkohol,vastuolu,S
alkoholivaba,vastuolu,A
alkohoolik,dom neg,S
allahindlus,vastuolu,S
allikas,dom neutr,S
allkiri,dom neutr,S
alluma,dom neutr,V
allutama,vastuolu,V
alternatiiv,vastuolu,S
alumine,dom neutr,A
alune,dom neutr,A
alus,dom neutr,S
aluspesu,dom neutr,S
aluspüksid,dom neutr,S
alustama,vastuolu,V
amet,dom neutr,S
ametikoht,dom neutr,S
ametlik,dom neutr,A
ametnik,dom neutr,S
analüüs,dom neutr,S
analüüsima,vastuolu,V
andekas,dom pos,A
andestama,vastuolu,V
andma,vastuolu,V
andmed,dom neutr,S
ankeet,dom neutr,S
annus,dom neutr,S
ansambel,dom neutr,S
appi,vastuolu,
aprill,dom neutr,S
apteek,dom neutr,S
arendama,vastuolu,V
arenema,dom pos,V
areng,dom pos,S
arg,dom neg,A
argument,vastuolu,S
arhiiv,dom neutr,S
arhitekt,dom neutr,S
armas,dom pos,A
armastama,dom pos,V
armastus,dom pos,S
armee,dom neutr,S
armuke,dom neg,S
armuma,dom pos,V
arst,vastuolu,S
artikkel,dom neutr,S
aru,dom pos,S/S
aruanne,dom neutr,S
arukas,dom pos,A
arusaam,dom neutr,S
arusaamatu,dom neg,A
arutama,vastuolu,V
arutelu,vastuolu,S
arutlema,dom pos,V
arutlus,dom pos,S
arv,dom neutr,S
arvama,dom neutr,V
arvamus,dom neutr,S
arve,vastuolu,S
arvestama,vastuolu,V
arvestus,dom neutr,S
arvutama,dom neutr,V
arvuti,dom neutr,S
ase,dom neutr,S
asendama,dom neutr,V
asetama,dom neutr,V
asetäitja,dom neutr,S
asi,dom neutr,S
asjaolu,dom neutr,S
asjaosaline,dom neutr,A
asjatundja,dom pos,S
aste,dom neutr,S/S
astuma,dom neutr,V
asukoht,dom neutr,S
asuma,dom neutr,V
asutama,dom neutr,V
asutus,dom neutr,S
au,dom pos,S
august,dom neutr,S
auhind,dom pos,S
auk,vastuolu,S
aus,dom pos,A
austama,dom pos,V
auto,dom neutr,S
autojuht,dom neutr,S
automaat,dom neutr,S
autor,dom neutr,S
avaldama,dom neutr,V
avalduma,dom neutr,V
avaldus,dom neutr,S
avalik,dom neutr,A
avalikkus,dom neutr,S
avalikustama,dom neutr,V
avama,vastuolu,V
avanema,vastuolu,V
avar,dom pos,A
avarii,dom neg,S
avastama,vastuolu,V
baar,vastuolu,S
baas,dom neutr,S
ballett,vastuolu,S
bassein,dom neutr,S
beebi,dom pos,S
beež,dom neutr,A
bensiin,dom neutr,S
bensiinijaam,dom neutr,S
bioloogia,dom neutr,S
blond,dom neutr,A/S
brikett,dom neutr,S
britt,dom neutr,S
broiler,dom neutr,S
broneerima,dom neutr,V
brünett,dom neutr,A/S
buss,dom neutr,S
bussijaam,dom neutr,S
bussijuht,dom neutr,S
bussipeatus,dom neutr,S
bussipilet,dom neutr,S
büroo,dom neutr,S
daam,dom pos,S
defitsiit,dom neg,S
delegatsioon,dom neutr,S
demokraatia,dom pos,S
demokraatlik,dom pos,A
detail,dom neutr,S
detsember,dom neutr,S
dialoog,dom neutr,S
dieet,dom neutr,S
diivan,dom neutr,S
diplom,dom pos,S
diplomaat,dom neutr,S
diplomaatiline,dom pos,A
direktor,dom neutr,S
dirigent,dom neutr,S
disainer,dom neutr,S
diskussioon,dom neutr,S
distants,dom neutr,S
doktor,dom neutr,S
dokument,dom neutr,S
dollar,dom neutr,S
draama,vastuolu,S
dress,dom neutr,S
dušš,dom neutr,S
ebameeldiv,dom neg,A
ebamugav,dom neg,A
ebaoluline,dom neg,A
ebaseaduslik,dom neg,A
ebaõnnestuma,dom neg,V
edasine,dom neutr,A
edastama,dom neutr,V
edenema,dom pos,V
edu,dom pos,S
edukas,dom pos,A
eelarve,dom neutr,S
eeldama,dom neutr,V
eeldus,dom neutr,S
eelis,dom pos,S
eelistama,vastuolu,V
eelistus,dom pos,S
eelmine,dom neutr,A
eemaldama,vastuolu,V
eeskiri,dom neutr,S
eeskuju,dom pos,S
eesmärk,dom pos,S
eesnimi,dom neutr,S
eesots,dom neutr,S
eesti,dom pos,A
eestikeelne,dom pos,A
eestimaalane,vastuolu,S
eestlane,dom pos,S
efekt,vastuolu,S
ehitaja,dom neutr,S
ehitama,dom neutr,V
ehitis,dom neutr,S
ehitus,dom neutr,S
ehitusmaterjal,dom neutr,S
ehitustöö,dom neutr,S
ehmatama,dom neg,V
ei,dom neg,D/V
eilne,dom neutr,A
eitama,dom neg,V
ekraan,dom neutr,S
eksima,dom neg,V
eksisteerima,dom neutr,V
eksitus,dom neg,S
ekskursioon,vastuolu,S
ekspert,dom pos,S
ekspertiis,dom neutr,S
eksponaat,dom neutr,S
ekspress,vastuolu,S
elama,dom neutr,V
elamisluba,vastuolu,S
elamu,dom neutr,S
elanik,dom neutr,S
elanikkond,dom neutr,S
elekter,dom neutr,S
elektrijaam,dom neutr,S
elektrik,dom neutr,S
elektripliit,dom neutr,S
elu,vastuolu,S
eluaasta,dom neutr,S
elukaaslane,vastuolu,S
elukindlustus,vastuolu,S
elukoht,dom neutr,S
elukutse,dom neutr,S
elulugu,dom neutr,S
eluohtlik,dom neg,A
eluruum,dom neutr,S
elus,dom pos,A
elutuba,dom neutr,S
eluviis,dom neutr,S
ema,dom pos,S
emakeel,dom pos,S
emane,dom neutr,A/S
emme,dom pos,S
emotsionaalne,vastuolu,A
emotsioon,vastuolu,S
enam,dom neutr,A/D
enamik,dom neutr,S
enamus,dom neutr,S
endine,dom neutr,A
energia,vastuolu,S
energiline,dom pos,A
enesetunne,dom neutr,S
enne,dom neutr,S/D
ennustama,dom neutr,V
eraisik,dom neutr,S
erakond,vastuolu,S
erakorraline,vastuolu,A
eraldama,dom neutr,V
eramaja,dom neutr,S
erand,dom neutr,S
erapooletu,dom neutr,A
erastama,dom neutr,V
eriala,dom neutr,S
eriline,dom pos,A
erinema,dom neutr,V
erinevus,dom neutr,S
eripära,vastuolu,S
ese,dom neutr,S
esialgne,dom neutr,A
esietenduma,vastuolu,V
esik,dom neutr,S
esiklaas,dom neutr,S
esikoht,dom pos,S
esimees,dom neutr,S
esimene,vastuolu,N/P
esindaja,dom neutr,S
esindama,dom neutr,V
esindus,dom neutr,S
esinema,dom neutr,V
esitama,dom neutr,V
esitatu,dom neutr,S
esitlema,dom neutr,V
esmaabi,dom pos,S
esmane,dom neutr,A
esmaspäev,dom neutr,S
etapp,dom neutr,S
etendus,dom neutr,S
ettekandja,dom neutr,S
ettekanne,dom neutr,S
ettepanek,vastuolu,S
ettevaatlik,vastuolu,A
ettevaatus ,vastuolu,S
ettevalmistus,dom neutr,S
ettevõte,dom neutr,S
ettevõtja,dom neutr,S
ettevõtlus,vastuolu,S
euro,dom neutr,S
fakt,dom neutr,S
festival,dom pos,S
fikseerima,dom neutr,V
film,dom neutr,S
filmima,dom neutr,V
filosoofia,dom neutr,S
finantseerima,vastuolu,V
firma,dom neutr,S
fond,dom neutr,S
foto,dom neutr,S
fotoaparaat,dom neutr,S
fotograaf,dom neutr,S
funktsioon,dom neutr,S
föön,dom neutr,S
füüsiline,dom neutr,A
gaas,dom neutr,S
gaasipliit,dom neutr,S
galerii,dom neutr,S
garaaž,dom neutr,S
garanteerima,vastuolu,V
garantii,vastuolu,S
garderoob,dom neutr,S
giid,dom neutr,S
globaalne,dom neutr,A
gramm,dom neutr,S
gripp,dom neg,S
grupp,dom neutr,S
gümnaasium,dom neutr,S
haagis,dom neutr,S
haamer,dom neutr,S
haarama,dom neutr,V
habe,dom neutr,S
haige,dom neg,A/S
haigla,vastuolu,S
haigus,dom neg,S
haigusleht,vastuolu,S
hais,dom neg,S
haisema,dom neg,V
hakkama,dom neutr,V
halb,dom neg,A
hale,dom neg,A
hall,vastuolu,A/S/S
hallo,vastuolu,Interj.
halvem,dom neg,A
halvenema,dom neg,V
hambaarst,vastuolu,S
hambapasta,dom neutr,S
hammas,dom neutr,S
hani,dom neutr,S
hankima,dom neutr,V
hapu,vastuolu,A
hapukapsas,dom neutr,S
hapukoor,dom neutr,S
hari,dom neutr,S/S
haridus,dom pos,S
harilik,dom neutr,A
harima,vastuolu,V/V
harjuma,dom neutr,V
harjutama,vastuolu,V
harjutus,dom neutr,S
haud,dom neg,S
hea,dom pos,A/S
hein,dom neutr,S
heitma,dom neutr,V
hektar,dom neutr,S
hele,vastuolu,A
heli,dom neutr,S
helilooja,dom neutr,S
